code,link
COWL,https://query1.finance.yahoo.com/v7/finance/download/COWL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CPGT,https://query1.finance.yahoo.com/v7/finance/download/CPGT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CPIN,https://query1.finance.yahoo.com/v7/finance/download/CPIN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CPRO,https://query1.finance.yahoo.com/v7/finance/download/CPRO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CSAP,https://query1.finance.yahoo.com/v7/finance/download/CSAP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CSIS,https://query1.finance.yahoo.com/v7/finance/download/CSIS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CTBN,https://query1.finance.yahoo.com/v7/finance/download/CTBN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CTRA,https://query1.finance.yahoo.com/v7/finance/download/CTRA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
CTTH,https://query1.finance.yahoo.com/v7/finance/download/CTTH.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
DAJK,https://query1.finance.yahoo.com/v7/finance/download/DAJK.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
DART,https://query1.finance.yahoo.com/v7/finance/download/DART.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
DAVO,https://query1.finance.yahoo.com/v7/finance/download/DAVO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
DAYA,https://query1.finance.yahoo.com/v7/finance/download/DAYA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
